base_name,normal_file,normal_label,normal_split,other_files,other_labels,same_label
Dieu_0043_p03,Dieu_0043_p03.png,60B356563,train,Dieu_0043_p03_03.png,60B356563,True
Dieu_0044_p01,Dieu_0044_p01.png,78H155105,val,Dieu_0044_p01_01.png,78H155105,True
Dieu_0045_p01,Dieu_0045_p01.png,62P239786,train,Dieu_0045_p01_01.png,62P239786,True
Dieu_0045_p02,Dieu_0045_p02.png,78B102230,train,Dieu_0045_p02_02.png,78B102230,True
Dieu_0045_p03,Dieu_0045_p03.png,77C172309,train,Dieu_0045_p03_03.png,77C172309,True
Dieu_0046_p01,Dieu_0046_p01.png,76F107080,train,Dieu_0046_p01_01.png,76F107080,True
Dieu_0046_p02,Dieu_0046_p02.png,93L152376,train,Dieu_0046_p02_02.png,93L152376,True
Dieu_0046_p03,Dieu_0046_p03.png,59D331383,train,Dieu_0046_p03_03.png,59D331383,True
Dieu_0052_p01,Dieu_0052_p01.png,79A05304,test,Dieu_0052_p01_01.png,79A05304,True
Dieu_0053_p01,Dieu_0053_p01.png,51K10146,val,Dieu_0053_p01_01.png,51K10146,True
Dieu_0055_p01,Dieu_0055_p01.png,59C164460,train,Dieu_0055_p01_01.png,59C164460,True
Dieu_0057_p01,Dieu_0057_p01.png,59X129053,train,Dieu_0057_p01_01.png,59X129053,True
Dieu_0057_p02,Dieu_0057_p02.png,51H45993,train,Dieu_0057_p02_02.png,51H45993,True
Dieu_0057_p03,Dieu_0057_p03.png,59X418408,train,Dieu_0057_p03_03.png,59X418408,True
Dieu_0057_p04,Dieu_0057_p04.png,79C109873,train,Dieu_0057_p04_04.png,79C109873,True
Dieu_0059_p01,Dieu_0059_p01.png,51G51717,val,Dieu_0059_p01_01.png,51G51717,True
Dieu_0060_p01,Dieu_0060_p01.png,50X111589,train,Dieu_0060_p01_01.png,50X111589,True
Dieu_0061_p02,Dieu_0061_p02.png,76B141873,train,Dieu_0061_p02_02.png,76B141873,True
Dieu_0061_p03,Dieu_0061_p03.png,59X139458,train,Dieu_0061_p03_03.png,59X139458,True
Dieu_0062_p02,Dieu_0062_p02.png,76B141873,train,Dieu_0062_p02_02.png,76B141873,True
Dieu_0064_p01,Dieu_0064_p01.png,59P168112,train,Dieu_0064_p01_01.png,59P168112,True
Dieu_0065_p01,Dieu_0065_p01.png,76B141873,train,Dieu_0065_p01_01.png,76B141873,True
Dieu_0065_p02,Dieu_0065_p02.png,51K41229,train,Dieu_0065_p02_02.png,51K41229,True
Dieu_0066_p01,Dieu_0066_p01.png,77H61141,test,Dieu_0066_p01_01.png,77H61141,True
Dieu_0069_p01,Dieu_0069_p01.png,51K41215,train,Dieu_0069_p01_01.png,51K41215,True
Dieu_0069_p03,Dieu_0069_p03.png,59X139458,train,Dieu_0069_p03_02.png,59X139458,True
Dieu_0070_p01,Dieu_0070_p01.png,51K41215,train,Dieu_0070_p01_01.png,51K41215,True
Dieu_0070_p02,Dieu_0070_p02.png,76B141873,train,Dieu_0070_p02_02.png,76B141873,True
Dieu_0070_p03,Dieu_0070_p03.png,59X139458,train,Dieu_0070_p03_03.png,59X139458,True
Dieu_0071_p01,Dieu_0071_p01.png,88F139871,train,Dieu_0071_p01_01.png,88F139871,True
Dieu_0071_p02,Dieu_0071_p02.png,59X139458,train,Dieu_0071_p02_02.png,59X139458,True
Dieu_0071_p03,Dieu_0071_p03.png,76B141873,train,Dieu_0071_p03_03.png,76B141873,True
Dieu_0072_p01,Dieu_0072_p01.png,59XB20430,train,Dieu_0072_p01_01.png,59XB20430,True
Dieu_0072_p02,Dieu_0072_p02.png,59X139458,train,Dieu_0072_p02_02.png,59X139458,True
Dieu_0072_p04,Dieu_0072_p04.png,51K14184,train,Dieu_0072_p04_03.png,51K14184,True
Dieu_0073_p01,Dieu_0073_p01.png,59X148991,train,Dieu_0073_p01_01.png,59X148991,True
Dieu_0073_p05,Dieu_0073_p05.png,59X247780,train,Dieu_0073_p05_02.png,59X247780,True
Dieu_0073_p06,Dieu_0073_p06.png,77L142251,train,Dieu_0073_p06_03.png,77L142251,True
Dieu_0074_p01,Dieu_0074_p01.png,51D71635,train,Dieu_0074_p01_01.png,51D71635,True
Dieu_0074_p02,Dieu_0074_p02.png,59X336832,train,Dieu_0074_p02_02.png,59X336832,True
Dieu_0076_p01,Dieu_0076_p01.png,59L121901,train,Dieu_0076_p01_01.png,59L121901,True
Dieu_0076_p02,Dieu_0076_p02.png,51F82338,train,Dieu_0076_p02_02.png,51F82338,True
Dieu_0078_p01,Dieu_0078_p01.png,51H25905,train,Dieu_0078_p01_01.png,51H25905,True
Dieu_0078_p02,Dieu_0078_p02.png,47B306007,train,Dieu_0078_p02_02.png,47B306007,True
Dieu_0078_p03,Dieu_0078_p03.png,83C143065,train,Dieu_0078_p03_03.png,83C143065,True
Dieu_0080_p01,Dieu_0080_p01.png,60F378417,test,Dieu_0080_p01_01.png,60F378417,True
Dieu_0081_p01,Dieu_0081_p01.png,63B615142,train,Dieu_0081_p01_01.png,63B615142,True
Dieu_0084_p01,Dieu_0084_p01.png,82MD102295,train,Dieu_0084_p01_01.png,82MD102295,True
Dieu_0084_p02,Dieu_0084_p02.png,59F154325,train,Dieu_0084_p02_02.png,59F154325,True
Dieu_0084_p04,Dieu_0084_p04.png,51D36382,train,Dieu_0084_p04_03.png,51D36382,True
Dieu_0085_p01,Dieu_0085_p01.png,59F200664,train,Dieu_0085_p01_01.png,59F200664,True
Dieu_0085_p03,Dieu_0085_p03.png,59P120536,train,Dieu_0085_p03_02.png,59P120536,True
Dieu_0086_p01,Dieu_0086_p01.png,59199849,test,Dieu_0086_p01_01.png,59199849,True
Dieu_0088_p01,Dieu_0088_p01.png,59X206529,val,Dieu_0088_p01_01.png,59X206529,True
Dieu_0089_p01,Dieu_0089_p01.png,59X227971,train,Dieu_0089_p01_01.png,59X227971,True
Dieu_0089_p02,Dieu_0089_p02.png,60F314247,train,Dieu_0089_p02_02.png,60F314247,True
Dieu_0090_p01,Dieu_0090_p01.png,47N152201,train,Dieu_0090_p01_01.png,47N152201,True
Dieu_0090_p03,Dieu_0090_p03.png,51H16559,train,Dieu_0090_p03_02.png,51H16559,True
Dieu_0091_p01,Dieu_0091_p01.png,59X411844,val,Dieu_0091_p01_01.png,59X411844,True
Dieu_0094_p01,Dieu_0094_p01.png,50N161501,train,Dieu_0094_p01_01.png,50N161501,True
Dieu_0094_p02,Dieu_0094_p02.png,59X131857,train,Dieu_0094_p02_02.png,59X131857,True
Dieu_0096_p04,Dieu_0096_p04.png,94K14726,train,Dieu_0096_p04_01.png,94K14726,True
Dieu_0098_p01,Dieu_0098_p01.png,81A23618,train,Dieu_0098_p01_01.png,81A23618,True
Dieu_0100_p01,Dieu_0100_p01.png,60A81861,train,Dieu_0100_p01_01.png,60A81861,True
Dieu_0100_p02,Dieu_0100_p02.png,59X171055,train,Dieu_0100_p02_02.png,59X171055,True
Dieu_0102_p01,Dieu_0102_p01.png,68T155819,test,Dieu_0102_p01_01.png,68T155819,True
Dieu_0104_p02,Dieu_0104_p02.png,59X190004,train,Dieu_0104_p02_02.png,59X190004,True
Dieu_0104_p04,Dieu_0104_p04.png,54S70497,train,Dieu_0104_p04_03.png,54S70497,True
Dieu_0105_p01,Dieu_0105_p01.png,81K98170,val,Dieu_0105_p01_01.png,81K98170,True
Dieu_0107_p01,Dieu_0107_p01.png,59X104874,test,Dieu_0107_p01_01.png,59X104874,True
Dieu_0109_p01,Dieu_0109_p01.png,61C40767,train,Dieu_0109_p01_01.png,61C40767,True
Dieu_0115_p01,Dieu_0115_p01.png,59X174144,train,Dieu_0115_p01_01.png,59X174144,True
Dieu_0115_p02,Dieu_0115_p02.png,60R29013,train,Dieu_0115_p02_02.png,60R29013,True
Dieu_0116_p01,Dieu_0116_p01.png,51G92506,train,Dieu_0116_p01_01.png,51G92506,True
Dieu_0116_p02,Dieu_0116_p02.png,59V365647,train,Dieu_0116_p02_02.png,59V365647,True
Dieu_0116_p03,Dieu_0116_p03.png,66PA11824,train,Dieu_0116_p03_03.png,66PA11824,True
Dieu_0117_p01,Dieu_0117_p01.png,51R59122,train,Dieu_0117_p01_01.png,51R59122,True
Dieu_0117_p02,Dieu_0117_p02.png,59P170686,train,Dieu_0117_p02_02.png,59P170686,True
Dieu_0118_p01,Dieu_0118_p01.png,74B113350,train,Dieu_0118_p01_01.png,74B113350,True
Dieu_0118_p02,Dieu_0118_p02.png,51G92506,train,Dieu_0118_p02_02.png,51G92506,True
Dieu_0118_p03,Dieu_0118_p03.png,59D177510,train,Dieu_0118_p03_03.png,59D177510,True
Dieu_0119_p01,Dieu_0119_p01.png,59M222491,train,Dieu_0119_p01_01.png,59M222491,True
Dieu_0119_p02,Dieu_0119_p02.png,29F100806,train,Dieu_0119_p02_02.png,29F100806,True
Dieu_0121_p01,Dieu_0121_p01.png,64L114602,train,Dieu_0121_p01_01.png,64L114602,True
Dieu_0121_p02,Dieu_0121_p02.png,59X164893,train,Dieu_0121_p02_02.png,59X164893,True
Dieu_0121_p03,Dieu_0121_p03.png,67X149625,train,Dieu_0121_p03_03.png,67X149625,True
Dieu_0122_p01,Dieu_0122_p01.png,67D183680,train,Dieu_0122_p01_01.png,67D183680,True
Dieu_0122_p02,Dieu_0122_p02.png,59X155679,train,Dieu_0122_p02_02.png,59X155679,True
Dieu_0123_p01,Dieu_0123_p01.png,55X22488,test,Dieu_0123_p01_01.png,55X22488,True
Dieu_0126_p01,Dieu_0126_p01.png,51K02473,test,Dieu_0126_p01_01.png,51K02473,True
Dieu_0127_p01,Dieu_0127_p01.png,51K73054,train,Dieu_0127_p01_01.png,51K73054,True
Dieu_0127_p02,Dieu_0127_p02.png,51X28887,train,Dieu_0127_p02_02.png,51X28887,True
Dieu_0129_p01,Dieu_0129_p01.png,76AC01232,train,Dieu_0129_p01_01.png,76AC01232,True
Dieu_0131_p02,Dieu_0131_p02.png,51A94799,val,Dieu_0131_p02_01.png,51A94799,True
Dieu_0133_p01,Dieu_0133_p01.png,59X193723,train,Dieu_0133_p01_01.png,59X193723,True
Dieu_0134_p01,Dieu_0134_p01.png,5D0LD18760,train,Dieu_0134_p01_01.png,5D0LD18760,True
Dieu_0134_p02,Dieu_0134_p02.png,16B90252,train,Dieu_0134_p02_02.png,16B90252,True
Dieu_0136_p02,Dieu_0136_p02.png,59X161325,train,Dieu_0136_p02_02.png,59X161325,True
Dieu_0138_p01,Dieu_0138_p01.png,74D407123,test,Dieu_0138_p01_01.png,74D407123,True
Dieu_0139_p01,Dieu_0139_p01.png,50X108994,test,Dieu_0139_p01_01.png,50X108994,True
Dieu_0142_p01,Dieu_0142_p01.png,51A89140,val,Dieu_0142_p01_01.png,51A89140,True
Dieu_0143_p01,Dieu_0143_p01.png,51H69432,val,Dieu_0143_p01_01.png,51H69432,True
Dieu_0144_p01,Dieu_0144_p01.png,60F264982,train,Dieu_0144_p01_01.png,60F264982,True
Dieu_0144_p02,Dieu_0144_p02.png,36N67545,train,Dieu_0144_p02_02.png,36N67545,True
Dieu_0144_p03,Dieu_0144_p03.png,59S365995,train,Dieu_0144_p03_03.png,59S365995,True
Dieu_0145_p01,Dieu_0145_p01.png,60B229968,test,Dieu_0145_p01_01.png,60B229968,True
Dieu_0146_p01,Dieu_0146_p01.png,51H69860,train,Dieu_0146_p01_01.png,51H69860,True
Dieu_0148_p01,Dieu_0148_p01.png,51F79385,train,Dieu_0148_p01_01.png,51F79385,True
Dieu_0150_p01,Dieu_0150_p01.png,79Z13052,train,Dieu_0150_p01_01.png,79Z13052,True
Dieu_0150_p02,Dieu_0150_p02.png,59X213224,train,Dieu_0150_p02_02.png,59X213224,True
Dieu_0151_p01,Dieu_0151_p01.png,60B522121,train,Dieu_0151_p01_01.png,60B522121,True
Dieu_0151_p02,Dieu_0151_p02.png,59X114523,train,Dieu_0151_p02_02.png,59X114523,True
Dieu_0152_p02,Dieu_0152_p02.png,5X115755,train,Dieu_0152_p02_02.png,5X115755,True
Dieu_0153_p01,Dieu_0153_p01.png,59S291904,train,Dieu_0153_p01_01.png,59S291904,True
Dieu_0153_p02,Dieu_0153_p02.png,71C342726,train,Dieu_0153_p02_02.png,71C342726,True
Dieu_0155_p01,Dieu_0155_p01.png,59X417418,train,Dieu_0155_p01_01.png,59X417418,True
Dieu_0155_p03,Dieu_0155_p03.png,68K126338,train,Dieu_0155_p03_02.png,68K126338,True
Dieu_0157_p01,Dieu_0157_p01.png,51C89366,train,Dieu_0157_p01_01.png,51C89366,True
Dieu_0158_p01,Dieu_0158_p01.png,55X10641,val,Dieu_0158_p01_01.png,55X10641,True
Dieu_0159_p01,Dieu_0159_p01.png,59X317162,train,Dieu_0159_p01_01.png,59X317162,True
Dieu_0159_p03,Dieu_0159_p03.png,50X117685,train,Dieu_0159_p03_02.png,50X117685,True
Dieu_0160_p01,Dieu_0160_p01.png,60H149780,train,Dieu_0160_p01_01.png,60H149780,True
Dieu_0160_p02,Dieu_0160_p02.png,63B994975,train,Dieu_0160_p02_02.png,63B994975,True
Dieu_0160_p03,Dieu_0160_p03.png,59X317162,train,Dieu_0160_p03_03.png,59X317162,True
Dieu_0161_p01,Dieu_0161_p01.png,61C186959,train,Dieu_0161_p01_01.png,61C186959,True
Dieu_0161_p02,Dieu_0161_p02.png,47M194680,train,Dieu_0161_p02_02.png,47M194680,True
Dieu_0162_p01,Dieu_0162_p01.png,51H4573,train,Dieu_0162_p01_01.png,51H4573,True
Dieu_0162_p02,Dieu_0162_p02.png,67H185418,train,Dieu_0162_p02_02.png,67H185418,True
Dieu_0162_p03,Dieu_0162_p03.png,60F16272,train,Dieu_0162_p03_03.png,60F16272,True
Dieu_0163_p01,Dieu_0163_p01.png,72F110430,train,Dieu_0163_p01_01.png,72F110430,True
Dieu_0165_p01,Dieu_0165_p01.png,52X35035,train,Dieu_0165_p01_01.png,52X35035,True
Dieu_0167_p01,Dieu_0167_p01.png,51H69860,train,Dieu_0167_p01_01.png,51H69860,True
Dieu_0168_p01,Dieu_0168_p01.png,60Z40023,train,Dieu_0168_p01_01.png,60Z40023,True
Dieu_0169_p01,Dieu_0169_p01.png,84F89875,train,Dieu_0169_p01_01.png,84F89875,True
Dieu_0169_p02,Dieu_0169_p02.png,60Z40023,train,Dieu_0169_p02_02.png,60Z40023,True
Dieu_0169_p03,Dieu_0169_p03.png,60F361271,train,Dieu_0169_p03_03.png,60F361271,True
Dieu_0171_p01,Dieu_0171_p01.png,59X378444,train,Dieu_0171_p01_01.png,59X378444,True
Dieu_0171_p02,Dieu_0171_p02.png,60Z40023,train,Dieu_0171_p02_02.png,60Z40023,True
Dieu_0171_p03,Dieu_0171_p03.png,60F361271,train,Dieu_0171_p03_03.png,60F361271,True
Dieu_0173_p01,Dieu_0173_p01.png,59C320025,test,Dieu_0173_p01_01.png,59C320025,True
Dieu_0174_p01,Dieu_0174_p01.png,959K193,test,Dieu_0174_p01_01.png,959K193,True
Dieu_0175_p01,Dieu_0175_p01.png,60B862972,test,Dieu_0175_p01_01.png,60B862972,True
Dieu_0176_p01,Dieu_0176_p01.png,60F3571,val,Dieu_0176_p01_01.png,60F3571,True
Dieu_0177_p01,Dieu_0177_p01.png,59Z101922,train,Dieu_0177_p01_01.png,59Z101922,True
Dieu_0178_p01,Dieu_0178_p01.png,59Z101922,train,Dieu_0178_p01_01.png,59Z101922,True
Dieu_0179_p01,Dieu_0179_p01.png,60F135716,train,Dieu_0179_p01_01.png,60F135716,True
Dieu_0180_p01,Dieu_0180_p01.png,60F135716,train,Dieu_0180_p01_01.png,60F135716,True
Dieu_0182_p01,Dieu_0182_p01.png,55X11849,train,Dieu_0182_p01_01.png,55X11849,True
Dieu_0186_p01,Dieu_0186_p01.png,81B193928,val,Dieu_0186_p01_01.png,81B193928,True
Dieu_0187_p01,Dieu_0187_p01.png,51G38746,val,Dieu_0187_p01_01.png,51G38746,True
Dieu_0190_p01,Dieu_0190_p01.png,59P226533,train,Dieu_0190_p01_01.png,59P226533,True
Dieu_0191_p01,Dieu_0191_p01.png,60B877771,train,Dieu_0191_p01_01.png,60B877771,True
Dieu_0192_p01,Dieu_0192_p01.png,51K37082,test,Dieu_0192_p01_01.png,51K37082,True
Dieu_0194_p01,Dieu_0194_p01.png,71C263510,train,Dieu_0194_p01_01.png,71C263510,True
Dieu_0194_p02,Dieu_0194_p02.png,51H17792,train,Dieu_0194_p02_02.png,51H17792,True
Dieu_0201_p01,Dieu_0201_p01.png,86B754759,val,Dieu_0201_p01_01.png,86B754759,True
Dieu_0202_p01,Dieu_0202_p01.png,47K115491,val,Dieu_0202_p01_01.png,47K115491,True
Dieu_0205_p01,Dieu_0205_p01.png,68D175123,train,Dieu_0205_p01_01.png,68D175123,True
Dieu_0205_p02,Dieu_0205_p02.png,54X55440,train,Dieu_0205_p02_02.png,54X55440,True
Dieu_0213_p01,Dieu_0213_p01.png,51A99341,val,Dieu_0213_p01_01.png,51A99341,True
Dieu_0214_p01,Dieu_0214_p01.png,51C02802,test,Dieu_0214_p01_01.png,51C02802,True
Dieu_0215_p01,Dieu_0215_p01.png,69N168744,train,Dieu_0215_p01_01.png,69N168744,True
Dieu_0217_p01,Dieu_0217_p01.png,51D02854,test,Dieu_0217_p01_01.png,51D02854,True
Dieu_0218_p03,Dieu_0218_p03.png,69N168744,train,Dieu_0218_p03_01.png,69N168744,True
Dieu_0222_p01,Dieu_0222_p01.png,51C12746,test,Dieu_0222_p01_01.png,51C12746,True
Dieu_0223_p01,Dieu_0223_p01.png,66A20265,train,Dieu_0223_p01_01.png,66A20265,True
Dieu_0223_p02,Dieu_0223_p02.png,57M2569,train,Dieu_0223_p02_02.png,57M2569,True
Dieu_0228_p01,Dieu_0228_p01.png,51C05509,train,Dieu_0228_p01_01.png,51C05509,True
Dieu_0229_p01,Dieu_0229_p01.png,51H33262,val,Dieu_0229_p01_01.png,51H33262,True
Dieu_0230_p01,Dieu_0230_p01.png,51G94706,val,Dieu_0230_p01_01.png,51G94706,True
Dieu_0231_p01,Dieu_0231_p01.png,61C20914,train,Dieu_0231_p01_01.png,61C20914,True
Dieu_0232_p01,Dieu_0232_p01.png,61C20514,train,Dieu_0232_p01_01.png,61C20514,True
Dieu_0232_p02,Dieu_0232_p02.png,51D35092,train,Dieu_0232_p02_02.png,51D35092,True
Dieu_0233_p01,Dieu_0233_p01.png,51H95737,test,Dieu_0233_p01_01.png,51H95737,True
Dieu_0241_p01,Dieu_0241_p01.png,51D36261,train,Dieu_0241_p01_01.png,51D36261,True
Dieu_0241_p02,Dieu_0241_p02.png,51H67569,train,Dieu_0241_p02_02.png,51H67569,True
Dieu_0242_p01,Dieu_0242_p01.png,51D75426,train,Dieu_0242_p01_01.png,51D75426,True
Dieu_0242_p02,Dieu_0242_p02.png,51H67569,train,Dieu_0242_p02_02.png,51H67569,True
Dieu_0243_p01,Dieu_0243_p01.png,51H67569,train,Dieu_0243_p01_01.png,51H67569,True
Dieu_0244_p01,Dieu_0244_p01.png,51H63681,val,Dieu_0244_p01_01.png,51H63681,True
Dieu_0245_p01,Dieu_0245_p01.png,51K41413,test,Dieu_0245_p01_01.png,51K41413,True
Dieu_0248_p01,Dieu_0248_p01.png,51D02795,test,Dieu_0248_p01_01.png,51D02795,True
Dieu_0251_p01,Dieu_0251_p01.png,51F20873,test,Dieu_0251_p01_01.png,51F20873,True
Dieu_0252_p01,Dieu_0252_p01.png,51C03806,train,Dieu_0252_p01_01.png,51C03806,True
Dieu_0252_p02,Dieu_0252_p02.png,63V54072,train,Dieu_0252_p02_02.png,63V54072,True
Dieu_0253_p01,Dieu_0253_p01.png,51H10572,test,Dieu_0253_p01_01.png,51H10572,True
Dieu_0254_p01,Dieu_0254_p01.png,59E202192,train,Dieu_0254_p01_01.png,59E202192,True
Dieu_0255_p01,Dieu_0255_p01.png,51A09798,test,Dieu_0255_p01_01.png,51A09798,True
Dieu_0258_p01,Dieu_0258_p01.png,60B107222,test,Dieu_0258_p01_01.png,60B107222,True
Dieu_0262_p01,Dieu_0262_p01.png,51G21576,train,Dieu_0262_p01_01.png,51G21576,True
Dieu_0264_p02,Dieu_0264_p02.png,51G05819,train,Dieu_0264_p02_02.png,51G05819,True
Dieu_0266_p01,Dieu_0266_p01.png,51F23429,val,Dieu_0266_p01_01.png,51F23429,True
Dieu_0268_p01,Dieu_0268_p01.png,51C93711,train,Dieu_0268_p01_01.png,51C93711,True
Dieu_0268_p03,Dieu_0268_p03.png,43D1958,train,Dieu_0268_p03_02.png,43D12958,False
Dieu_0271_p01,Dieu_0271_p01.png,51H60996,train,Dieu_0271_p01_01.png,51H60996,True
Dieu_0275_p01,Dieu_0275_p01.png,51A80985,train,Dieu_0275_p01_01.png,51A80985,True
Dieu_0276_p02,Dieu_0276_p02.png,72T22106,train,Dieu_0276_p02_02.png,72T22106,True
Dieu_0277_p01,Dieu_0277_p01.png,77H126596,test,Dieu_0277_p01_01.png,77H126596,True
Dieu_0279_p01,Dieu_0279_p01.png,59X112676,train,Dieu_0279_p01_01.png,59X112676,True
Dieu_0279_p02,Dieu_0279_p02.png,59X411142,train,Dieu_0279_p02_02.png,59X411142,True
Dieu_0280_p01,Dieu_0280_p01.png,51C95340,train,Dieu_0280_p01_01.png,51C95340,True
Dieu_0281_p02,Dieu_0281_p02.png,59X112676,train,Dieu_0281_p02_02.png,59X112676,True
Dieu_0282_p01,Dieu_0282_p01.png,51H35452,train,Dieu_0282_p01_01.png,51H35452,True
Dieu_0282_p02,Dieu_0282_p02.png,59X112676,train,Dieu_0282_p02_02.png,59X112676,True
Dieu_0283_p01,Dieu_0283_p01.png,59X112676,train,Dieu_0283_p01_01.png,59X112676,True
Dieu_0283_p02,Dieu_0283_p02.png,51F65471,train,Dieu_0283_p02_02.png,51F65471,True
Dieu_0283_p03,Dieu_0283_p03.png,60A65115,train,Dieu_0283_p03_03.png,60A65115,True
Dieu_0286_p01,Dieu_0286_p01.png,59X165996,test,Dieu_0286_p01_01.png,59X165996,True
Dieu_0287_p04,Dieu_0287_p04.png,18G103802,test,Dieu_0287_p04_01.png,18G103802,True
Dieu_0290_p01,Dieu_0290_p01.png,50LD05520,train,Dieu_0290_p01_01.png,50LD05520,True
Dieu_0290_p03,Dieu_0290_p03.png,59X411142,train,Dieu_0290_p03_03.png,59X411142,True
Dieu_0291_p01,Dieu_0291_p01.png,47A43399,train,Dieu_0291_p01_01.png,47A43399,True
Dieu_0293_p01,Dieu_0293_p01.png,51C52581,train,Dieu_0293_p01_01.png,51C52581,True
Dieu_0296_p01,Dieu_0296_p01.png,51C95340,train,Dieu_0296_p01_01.png,51C95340,True
Dieu_0297_p01,Dieu_0297_p01.png,60A84499,train,Dieu_0297_p01_01.png,60A84499,True
Dieu_0298_p01,Dieu_0298_p01.png,51H46350,train,Dieu_0298_p01_01.png,51H46350,True
Dieu_0298_p02,Dieu_0298_p02.png,59X411142,train,Dieu_0298_p02_02.png,59X411142,True
Dieu_0298_p03,Dieu_0298_p03.png,52T37354,train,Dieu_0298_p03_03.png,52T37354,True
Dieu_0299_p01,Dieu_0299_p01.png,51D80415,train,Dieu_0299_p01_01.png,51D80415,True
Dieu_0300_p01,Dieu_0300_p01.png,51D80415,train,Dieu_0300_p01_01.png,51D80415,True
Dieu_0303_p01,Dieu_0303_p01.png,30G54780,val,Dieu_0303_p01_01.png,30G54780,True
Dieu_0304_p01,Dieu_0304_p01.png,51D19051,train,Dieu_0304_p01_01.png,51D19051,True
Dieu_0308_p01,Dieu_0308_p01.png,51G76010,train,Dieu_0308_p01_01.png,51G76010,True
Dieu_0312_p01,Dieu_0312_p01.png,51G28885,test,Dieu_0312_p01_01.png,51G28885,True
Dieu_0313_p01,Dieu_0313_p01.png,51D81855,train,Dieu_0313_p01_01.png,51D81855,True
Dieu_0313_p03,Dieu_0313_p03.png,67C113624,train,Dieu_0313_p03_02.png,67C113624,True
Dieu_0318_p01,Dieu_0318_p01.png,51K17950,test,Dieu_0318_p01_01.png,51K17950,True
